School Name,total_ca,ca_drop_rate,ca_late_drop_rate,avg_days_to_drop,ca_low_utilization_rate,avg_participating_per_ca,school_enrollment_cv,is_lea_partner,risk_final,risk_cluster,attrition_rate,survival_rate,late_enroll_rate
School1,8,0.0,0.0,,0.0,17.0,0.1507929192384532,True,Low,Medium,0.07969328305818302,0.920306716941817,0.034482758620689655
School10,1,0.0,0.0,,0.0,10.0,0.0,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School100,9,0.3333333333333333,0.0,80.0,0.0,11.88888888888889,0.8735567826717882,True,Low,Medium,0.07969328305818302,0.920306716941817,0.25
School101,13,0.07692307692307693,0.0,,0.0,18.846153846153847,0.35052961775295366,True,Low,Medium,0.07969328305818302,0.920306716941817,0.3125
School102,4,0.5,1.0,-80.5,0.0,4.75,1.3020330813459808,True,High,High,0.6510514022236058,0.3489485977763942,1.0
School103,2,0.0,0.0,,0.0,6.0,0.23570222111181233,True,Medium,Medium,0.25889545495770705,0.741104545042293,0.07692307692307693
School104,4,0.5,0.0,56.0,0.0,4.0,0.9128707009576016,True,High,High,0.6510514022236058,0.3489485977763942,0.5555555555555556
School105,8,0.125,1.0,12.0,0.0,16.75,0.58820792731753,True,Medium,High,0.25889545495770705,0.741104545042293,0.3867924528301887
School106,5,0.4,0.0,85.5,0.0,6.6,0.9854309138140493,True,Medium,High,0.25889545495770705,0.741104545042293,0.47058823529411764
School107,12,0.5,0.16666666666666666,88.25,0.0,12.083333333333334,1.0506571652251002,True,Medium,High,0.25889545495770705,0.741104545042293,0.6479591836734694
School108,2,0.0,0.0,,0.5,5.0,0.2828426559060878,True,High,Low,0.6510514022236058,0.3489485977763942,0.0
School109,2,0.5,0.0,,0.0,12.5,0.5091168417249669,True,Medium,Medium,0.25889545495770705,0.741104545042293,0.7777777777777778
School11,1,0.0,0.0,,0.0,23.0,0.0,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School110,2,0.0,0.0,,0.5,5.0,0.2828426559060878,True,High,Low,0.6510514022236058,0.3489485977763942,0.0
School111,2,0.5,0.0,61.0,0.0,7.5,1.4142133738113118,True,Medium,High,0.25889545495770705,0.741104545042293,1.0
School112,1,0.0,0.0,,0.0,25.0,0.0,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School113,2,0.0,0.0,,0.0,21.0,0.13468699952662813,True,Low,Medium,0.07969328305818302,0.920306716941817,0.16216216216216217
School114,1,0.0,0.0,,0.0,9.0,0.0,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School115,1,1.0,1.0,-392.0,0.0,0.0,0.0,True,High,High,0.6510514022236058,0.3489485977763942,0.0
School116,2,0.5,0.0,54.0,0.0,9.0,1.4142134052382724,True,Medium,High,0.25889545495770705,0.741104545042293,1.0
School117,4,0.5,0.5,6.5,0.0,7.0,1.1780300104579016,True,High,High,0.6510514022236058,0.3489485977763942,0.0
School118,1,1.0,1.0,-80.0,0.0,0.0,0.0,True,High,High,0.6510514022236058,0.3489485977763942,0.0
School119,6,0.0,0.0,,0.0,11.833333333333334,0.12439098760537917,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School12,6,0.0,0.0,,0.0,14.0,0.2555506077463612,True,Low,Medium,0.07969328305818302,0.920306716941817,0.22340425531914893
School120,14,0.2857142857142857,0.5,43.0,0.14285714285714285,7.071428571428571,0.9741785111171095,True,High,High,0.6510514022236058,0.3489485977763942,0.23255813953488372
School121,2,0.5,0.0,62.0,0.0,12.0,1.4142134445219747,True,Medium,High,0.25889545495770705,0.741104545042293,0.75
School122,6,0.3333333333333333,0.0,68.5,0.0,14.0,0.809383683570611,True,Low,Medium,0.07969328305818302,0.920306716941817,0.26595744680851063
School123,5,0.2,0.0,,0.0,16.8,0.6646973068700949,True,Low,Medium,0.07969328305818302,0.920306716941817,0.20238095238095238
School124,1,0.0,0.0,,0.0,21.0,0.0,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School125,7,0.14285714285714285,1.0,21.0,0.0,11.714285714285714,0.5067460394159047,True,Medium,High,0.25889545495770705,0.741104545042293,0.48214285714285715
School126,4,0.25,1.0,24.0,0.0,12.5,0.7770027263375668,True,Medium,High,0.25889545495770705,0.741104545042293,0.64
School127,25,0.04,0.0,60.0,0.0,18.36,0.3331208410372263,True,Low,Medium,0.07969328305818302,0.920306716941817,0.26693227091633465
School128,6,0.5,0.3333333333333333,73.66666666666667,0.0,9.0,1.1374651084656304,False,Medium,High,0.25889545495770705,0.741104545042293,0.0847457627118644
School129,2,0.0,0.0,,0.0,45.5,0.9479892902063761,True,Medium,Medium,0.25889545495770705,0.741104545042293,0.0
School13,11,0.09090909090909091,0.0,,0.0,16.727272727272727,0.39027640432062943,True,Low,Medium,0.07969328305818302,0.920306716941817,0.07051282051282051
School130,4,0.0,0.0,,0.0,15.75,0.39946211406964094,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School131,17,0.17647058823529413,0.0,78.66666666666667,0.0,19.0,0.4968738577566182,True,Low,Medium,0.07969328305818302,0.920306716941817,0.11170212765957446
School132,12,0.08333333333333333,0.0,,0.0,18.166666666666668,0.34322671740818317,True,Low,Medium,0.07969328305818302,0.920306716941817,0.18243243243243243
School133,35,0.11428571428571428,0.25,68.66666666666667,0.0,16.428571428571427,0.46877832136266,True,Low,Medium,0.07969328305818302,0.920306716941817,0.25573770491803277
School134,7,0.2857142857142857,0.0,195.5,0.0,14.571428571428571,0.7130400946170785,True,Low,Medium,0.07969328305818302,0.920306716941817,0.07017543859649122
School135,3,0.3333333333333333,1.0,-7.0,0.0,5.333333333333333,0.9437291274596323,True,High,High,0.6510514022236058,0.3489485977763942,0.0
School136,7,0.0,0.0,,0.14285714285714285,15.428571428571429,0.49056597483182035,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School137,9,0.2222222222222222,0.0,61.5,0.0,18.22222222222222,0.6201327092372512,True,Low,Medium,0.07969328305818302,0.920306716941817,0.4222222222222222
School138,4,1.0,0.0,141.5,0.0,0.0,0.0,True,High,High,0.6510514022236058,0.3489485977763942,0.0
School139,1,0.0,0.0,,1.0,2.0,0.0,True,High,Low,0.6510514022236058,0.3489485977763942,0.0
School14,10,0.2,0.0,59.0,0.0,17.4,0.6101464549691887,True,Low,Medium,0.07969328305818302,0.920306716941817,0.3942857142857143
School140,4,0.0,0.0,,0.25,14.0,0.8390956632410764,True,Medium,Medium,0.25889545495770705,0.741104545042293,0.0
School141,8,0.25,0.0,55.0,0.0,12.625,0.6760073500940188,False,Low,Medium,0.07969328305818302,0.920306716941817,0.35294117647058826
School142,7,0.42857142857142855,1.0,-105.0,0.0,15.142857142857142,0.9960017909453858,True,High,High,0.6510514022236058,0.3489485977763942,0.03896103896103896
School143,2,0.0,0.0,,0.0,9.5,0.22329685476450398,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School144,3,1.0,0.6666666666666666,27.333333333333332,0.0,0.0,0.0,True,High,High,0.6510514022236058,0.3489485977763942,0.0
School145,14,0.14285714285714285,0.5,18.0,0.0,16.357142857142858,0.5338320287390362,True,Medium,Medium,0.25889545495770705,0.741104545042293,0.064
School146,2,0.0,0.0,,0.0,22.5,0.031426966655981374,True,Low,Medium,0.07969328305818302,0.920306716941817,0.061224489795918366
School147,9,0.1111111111111111,0.0,,0.0,16.22222222222222,0.4527547228410932,True,Low,Medium,0.07969328305818302,0.920306716941817,0.3620689655172414
School148,2,0.0,0.0,,0.0,12.5,0.6222539176638484,True,Low,Medium,0.07969328305818302,0.920306716941817,0.0
School149,4,0.25,1.0,-80.0,0.0,16.0,0.7162546818037109,True,Medium,High,0.25889545495770705,0.741104545042293,0.26153846153846155
