Course Connection ID,Contact ID,School Name,Course Name,Created Date,Term
a0LDo000000UFkNMAW,003Do00000E4wyxIAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkOMAW,003Do00000E4x1qIAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkPMAW,003Do00000E4x1CIAR,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkQMAW,003Do00000E4x38IAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkRMAW,003Do00000E4x1HIAR,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkSMAW,003Do00000E4x4pIAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkTMAW,003Do00000E4w6kIAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkUMAW,003Do00000E4x7jIAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkVMAW,003Do00000E4wStIAJ,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkWMAW,003Do00000E4x17IAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkXMAW,003Do00000E4xvPIAR,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkYMAW,003Do00000E4wr0IAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkZMAW,003Do00000E4x4GIAR,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkaMAG,003Do00000AF3pwIAD,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkbMAG,003Do00000E4weFIAR,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkcMAG,003Do00000E50G9IAJ,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkdMAG,003Do00000E50e6IAB,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkeMAG,003Do00000AF4tiIAD,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkfMAG,003Do00000E52VBIAZ,School615,Course63,2023-04-12,Fall 2023
a0LDo000000UFkgMAG,003Do00000E4x0TIAR,School615,Course63,2023-04-12,Fall 2023
